t,Avg_Divergence,Total_Divergence,Avg_Curl,Total_Curl
0047,6.3564312549850824e-12,1.6597976857329598e-06,7.371574672332328e-09,0.0019248729500140897
0048,7.383300434352523e-12,1.9279347927185654e-06,7.371529152617287e-09,0.0019248610638605787
0049,8.572173930907985e-12,2.238374629012624e-06,7.3715091236174305e-09,0.001924855833868107
0050,9.975326122403032e-12,2.604767132408002e-06,7.371592400051509e-09,0.00192487757909385
0051,1.1633546577981547e-11,3.0377633159891197e-06,7.371877233252928e-09,0.001924951955024238
0052,1.3587623971313717e-11,3.548013959013409e-06,7.372485320326744e-09,0.0019251107393290397
0053,1.5899625389442282e-11,4.151726081316558e-06,7.373244328517456e-09,0.0019253089323068068
0054,1.8642572710842327e-11,4.8679672288278594e-06,7.374060856215664e-09,0.0019255221448358905
0055,2.18958212105227e-11,5.717458730312897e-06,7.375109274676221e-09,0.0019257959089127295
0056,2.5760437435704066e-11,6.726591183648482e-06,7.3766044461569504e-09,0.001926186329584949
0057,3.03343881336078e-11,7.920945763835803e-06,7.378611298570404e-09,0.0019267103608940025
0058,3.5711041333200983e-11,9.324902823966775e-06,7.3811990591939915e-09,0.0019273860795357943
0059,4.207117395934875e-11,1.0985667015439104e-05,7.38420443006484e-09,0.001928170844982961
0060,4.9637974310179666e-11,1.2961517489848424e-05,7.387873346877149e-09,0.001929128876209908
0061,5.853721325063222e-11,1.5285295661218337e-05,7.392312217717286e-09,0.0019302879586025553
0062,6.896715663099114e-11,1.8008772906641037e-05,7.397788828549618e-09,0.0019317180166997048
0063,8.11966110557602e-11,2.120214027549116e-05,7.403959429822283e-09,0.0019333292902746243
0064,9.563029782577578e-11,2.49710789985644e-05,7.4112785619990005e-09,0.001935240469387741
0065,1.1253964183795748e-10,2.9386463816369297e-05,7.420454087294658e-09,0.0019376363917284682
0066,1.3237166364991063e-10,3.4565021183928315e-05,7.4314429950191355e-09,0.0019405058263023917
0067,1.556919759213271e-10,4.065444444455285e-05,7.444431969947235e-09,0.001943897520424592
0068,1.8316447033772469e-10,4.782808965905701e-05,7.459917490268897e-09,0.0019479411149765046
0069,2.1561435380525068e-10,5.6301435679980864e-05,7.478924765954837e-09,0.001952904313810893
0070,2.5397107040073686e-10,6.631717987411081e-05,7.501441540722013e-09,0.0019587839165548728
0071,2.996912603818323e-10,7.825568160216444e-05,7.529229033181595e-09,0.0019660398143734113
0072,3.536370593050319e-10,9.234206256278924e-05,7.561564242777765e-09,0.0019744832166383726
0073,4.173915050167651e-10,0.00010898968718148272,7.59947900644666e-09,0.0019843835576423582
0074,4.928556469563423e-10,0.00012869495938888704,7.644837858607873e-09,0.0019962277064775463
0075,5.813535539752375e-10,0.000151803621367568,7.697385933352142e-09,0.0020099491123028446
0076,6.84365033944688e-10,0.0001787020820286709,7.758182329238205e-09,0.0020258243279930093
0077,8.028878788405247e-10,0.00020965088581071663,7.826753173662649e-09,0.0020437296154599644
0078,9.384364869947807e-10,0.00024504547392056414,7.907548580267286e-09,0.002064826992827974
0079,1.0895101730412973e-09,0.0002844939858947166,7.997061661000496e-09,0.0020882007379821104
0080,1.2562747522053027e-09,0.0003280397195706008,8.095021294780652e-09,0.0021137800555144186
0081,1.43735739032317e-09,0.00037532419911857646,8.204718333803054e-09,0.0021424242560409874
0082,1.6280133584387271e-09,0.00042510847616887885,8.323000370772067e-09,0.002173310179816373
0083,1.828407139143749e-09,0.00047743550058035485,8.44509142081195e-09,0.0022051907168938374
0084,2.035029883152316e-09,0.0005313890381186159,8.573884610718698e-09,0.0022388213234354774
0085,2.242112326786654e-09,0.0005854626128828579,8.69472212448907e-09,0.0022703745358687104
0086,2.4544020842760956e-09,0.0006408959266482584,8.82840453991514e-09,0.0023052818218671813
